value,radW/m2
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654110821135660660-sample.jpg,555.97
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654110915967618957-sample.jpg,460.67
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654111822484544429-sample.jpg,623.62
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654112728673506623-sample.jpg,694.82
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654113603056741075-sample.jpg,573.59
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654114507228675878-sample.jpg,558.65
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654115411082160299-sample.jpg,459.35
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654116315165384684-sample.jpg,519.57
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654117219729381146-sample.jpg,407.11
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654118123951661858-sample.jpg,453.0
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654119029695704067-sample.jpg,389.28
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654119903084450867-sample.jpg,294.58
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654120807823659397-sample.jpg,380.81
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654121711792152794-sample.jpg,300.86
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654122615836658025-sample.jpg,199.59
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654123520057059886-sample.jpg,233.86
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654124424056836669-sample.jpg,160.29
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654125328457371186-sample.jpg,93.15
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654126200996124538-sample.jpg,92.53
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654127104728539216-sample.jpg,64.91
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654128008525578973-sample.jpg,41.13
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654128911925368662-sample.jpg,16.71
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654129815363294976-sample.jpg,4.22
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654167612510446914-sample.jpg,186.83
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654168515613992566-sample.jpg,236.57
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654169418184507616-sample.jpg,294.96
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654170321328764404-sample.jpg,337.09
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654171224120743102-sample.jpg,365.15
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654172127772232704-sample.jpg,397.28
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654173030689999529-sample.jpg,471.47
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654173902770462590-sample.jpg,545.79
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654174805813805973-sample.jpg,581.86
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654175708399821168-sample.jpg,625.51
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654176611552150854-sample.jpg,668.36
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654177514333867720-sample.jpg,701.99
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654178417420215841-sample.jpg,744.63
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654180215709891564-sample.jpg,821.06
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654181122205226046-sample.jpg,877.17
https://storage.sagecontinuum.org/api/v1/data/sage/sage-imagesampler-top-0.2.5/000048b02d15bc8c/1654182028830455877-sample.jpg,903.78
