JDA,T_LST,TaC_60m,spd_60m,spdV60m,dirV60m,sdir60m,e__10m,rh_10m,Tdp_10m,TaC_10m,spd_10m,spdV10m,dirV10m,sdir10m,baroKPa,radW/m2,netW/m2,Ta_diff,asp_60m,asp_10m,battVDC,precpmm,T_LST,JDA
152,14:00,18.90,3.64,3.56,98.26,11.51,1.7082,73.34,14.99,19.75,0.41,0.39,99.20,18.09,99.67,555.97,318.96,-0.017,100.00,100.00,12.756,0.0,14:00,152
152,14:15,19.05,3.61,3.57,91.63,9.23,1.7223,73.92,15.12,19.73,0.20,0.20,95.78,11.23,99.65,460.67,261.26,-0.014,100.00,100.00,12.751,0.0,14:15,152
152,14:30,19.32,3.73,3.70,88.01,7.14,1.7324,72.99,15.21,20.10,0.29,0.29,82.56,10.21,99.63,623.62,365.44,-0.016,100.00,100.00,12.750,0.0,14:30,152
152,14:45,19.76,2.74,2.65,91.84,14.82,1.7899,72.91,15.72,20.63,0.14,0.14,96.72,10.14,99.63,694.82,396.26,-0.017,100.00,100.00,12.747,0.0,14:45,152
152,15:00,19.92,2.40,2.31,97.68,16.03,1.7670,71.73,15.52,20.64,0.31,0.31,102.07,0.00,99.65,573.59,319.95,-0.014,100.00,100.00,12.740,0.0,15:00,152
152,15:15,20.11,2.54,2.47,78.18,13.01,1.8004,72.11,15.81,20.79,-0.22,0.19,270.44,111.76,99.65,558.65,310.03,-0.014,100.00,100.00,12.734,0.0,15:15,152
152,15:30,20.14,2.74,2.61,83.07,17.29,1.8159,72.86,15.95,20.81,-0.21,0.18,258.24,110.18,99.64,459.35,242.18,-0.013,100.00,100.00,12.728,0.0,15:30,152
152,15:45,20.27,2.76,2.69,91.98,12.63,1.8116,72.29,15.91,20.96,-0.20,0.18,280.19,112.42,99.63,519.57,278.74,-0.014,100.00,100.00,12.725,0.0,15:45,152
152,16:00,20.11,3.14,3.09,97.84,10.94,1.8036,72.90,15.84,20.74,-0.19,0.19,275.60,113.37,99.64,407.11,206.27,-0.013,100.00,100.00,12.723,0.0,16:00,152
152,16:15,20.38,2.62,2.51,107.79,16.48,1.8119,72.46,15.91,21.04,-0.24,0.23,288.58,112.82,99.63,453.00,215.25,-0.013,100.00,100.00,12.722,0.0,16:15,152
152,16:30,20.59,2.10,2.06,121.98,11.81,1.8331,71.65,16.09,21.20,-0.24,0.23,290.66,113.30,99.62,389.28,185.54,-0.012,100.00,100.00,12.720,0.0,16:30,152
152,16:45,20.70,1.77,1.67,83.68,19.04,1.8291,71.61,16.06,21.28,-0.24,0.22,264.55,112.22,99.60,294.58,134.96,-0.011,100.00,100.00,12.718,0.0,16:45,152
152,17:00,20.70,2.63,2.58,108.79,12.00,1.8612,72.58,16.33,21.28,-0.23,0.22,294.46,113.37,99.58,380.81,172.29,-0.011,100.00,100.00,12.720,0.0,17:00,152
152,17:15,19.88,5.43,5.36,87.08,8.65,1.7042,69.29,14.94,20.61,-0.24,0.24,264.80,113.78,99.56,300.86,122.78,-0.015,100.00,100.00,12.719,0.0,17:15,152
152,17:30,19.14,4.91,4.82,78.94,11.46,1.6137,69.80,14.11,19.67,0.54,0.53,73.69,12.55,99.56,199.59,71.49,-0.011,100.00,100.00,12.721,0.0,17:30,152
152,17:45,18.86,4.06,3.98,56.80,11.50,1.5596,67.95,13.58,19.48,2.87,2.70,64.63,19.78,99.56,233.86,69.07,-0.013,100.00,100.00,12.728,0.0,17:45,152
152,18:00,18.41,4.47,4.43,58.61,7.48,1.4981,67.62,12.97,18.94,3.14,2.99,65.84,17.39,99.54,160.29,28.85,-0.011,100.00,100.00,12.732,0.0,18:00,152
152,18:15,17.93,3.88,3.83,58.19,8.93,1.4660,68.35,12.64,18.36,2.47,2.34,61.23,18.64,99.52,93.15,2.90,-0.009,100.00,100.00,12.740,0.0,18:15,152
152,18:30,17.55,4.17,4.15,65.31,6.43,1.4363,68.63,12.33,17.97,3.30,3.25,75.47,10.30,99.50,92.53,-18.37,-0.008,100.00,100.00,12.751,0.0,18:30,152
152,18:45,17.03,5.49,5.46,73.48,5.83,1.3918,68.63,11.85,17.47,4.34,4.29,82.06,9.12,99.50,64.91,-34.70,-0.009,100.00,100.00,12.762,0.0,18:45,152
152,19:00,16.49,5.19,5.16,74.94,5.32,1.3606,69.88,11.51,16.89,4.23,4.18,83.70,8.93,99.49,41.13,-40.10,-0.008,100.00,100.00,12.774,0.0,19:00,152
152,19:15,16.01,4.41,4.39,71.42,5.67,1.3535,71.42,11.43,16.35,3.25,3.19,80.02,11.20,99.47,16.71,-43.36,-0.007,100.00,100.00,12.789,0.0,19:15,152
152,19:30,15.67,4.06,4.05,74.72,5.04,1.3477,72.66,11.36,16.00,3.02,2.99,78.57,8.15,99.46,4.22,-48.29,-0.007,100.00,100.00,12.806,0.0,19:30,152
152,19:45,15.32,4.03,4.02,77.42,4.80,1.3437,75.58,11.32,15.43,2.55,2.51,84.07,10.22,99.43,-0.42,-48.28,-0.002,100.00,100.00,12.824,0.0,19:45,152
152,20:00,15.12,4.53,4.51,68.60,4.22,1.3280,75.19,11.14,15.30,2.61,2.57,75.70,10.00,99.42,-0.67,-49.42,-0.004,100.00,100.00,12.843,0.0,20:00,152
153,06:00,15.42,3.28,3.26,243.27,6.58,1.5757,88.86,13.74,15.40,1.71,1.68,244.03,11.61,99.32,186.83,87.35,0.000,100.00,100.00,13.011,0.0,06:00,153
