,Images,Irradiance,Validation
0,/content/New_Data/New_Test_Folder/0/555.97.jpg,555,True
1,/content/New_Data/New_Test_Folder/1/460.67.jpg,460,False
2,/content/New_Data/New_Test_Folder/2/623.62.jpg,623,False
3,/content/New_Data/New_Test_Folder/3/694.82.jpg,694,False
4,/content/New_Data/New_Test_Folder/4/573.59.jpg,573,False
5,/content/New_Data/New_Test_Folder/5/558.65.jpg,558,False
6,/content/New_Data/New_Test_Folder/6/459.35.jpg,459,False
7,/content/New_Data/New_Test_Folder/7/519.57.jpg,519,False
8,/content/New_Data/New_Test_Folder/8/407.11.jpg,407,True
9,/content/New_Data/New_Test_Folder/9/453.0.jpg,453,False
10,/content/New_Data/New_Test_Folder/10/389.28.jpg,389,False
11,/content/New_Data/New_Test_Folder/11/294.58.jpg,294,False
12,/content/New_Data/New_Test_Folder/12/380.81.jpg,380,False
13,/content/New_Data/New_Test_Folder/13/300.86.jpg,300,False
14,/content/New_Data/New_Test_Folder/14/199.59.jpg,199,False
15,/content/New_Data/New_Test_Folder/15/233.86.jpg,233,False
16,/content/New_Data/New_Test_Folder/16/160.29.jpg,160,True
17,/content/New_Data/New_Test_Folder/17/93.15.jpg,93,False
18,/content/New_Data/New_Test_Folder/18/92.53.jpg,92,False
19,/content/New_Data/New_Test_Folder/19/64.91.jpg,64,False
20,/content/New_Data/New_Test_Folder/20/41.13.jpg,41,False
21,/content/New_Data/New_Test_Folder/21/16.71.jpg,16,False
22,/content/New_Data/New_Test_Folder/22/4.22.jpg,4,False
23,/content/New_Data/New_Test_Folder/23/186.83.jpg,186,False
24,/content/New_Data/New_Test_Folder/24/236.57.jpg,236,True
25,/content/New_Data/New_Test_Folder/25/294.96.jpg,294,False
26,/content/New_Data/New_Test_Folder/26/337.09.jpg,337,False
27,/content/New_Data/New_Test_Folder/27/365.15.jpg,365,False
28,/content/New_Data/New_Test_Folder/28/397.28.jpg,397,False
29,/content/New_Data/New_Test_Folder/29/471.47.jpg,471,False
30,/content/New_Data/New_Test_Folder/30/545.79.jpg,545,False
31,/content/New_Data/New_Test_Folder/31/581.86.jpg,581,False
32,/content/New_Data/New_Test_Folder/32/625.51.jpg,625,True
33,/content/New_Data/New_Test_Folder/33/668.36.jpg,668,False
34,/content/New_Data/New_Test_Folder/34/701.99.jpg,701,False
35,/content/New_Data/New_Test_Folder/35/744.63.jpg,744,False
36,/content/New_Data/New_Test_Folder/36/821.06.jpg,821,False
37,/content/New_Data/New_Test_Folder/37/877.17.jpg,877,False
38,/content/New_Data/New_Test_Folder/38/903.78.jpg,903,False
39,/content/New_Data/New_Test_Folder/39/867.8.jpg,867,False
40,/content/New_Data/New_Test_Folder/40/948.57.jpg,948,True
41,/content/New_Data/New_Test_Folder/41/963.89.jpg,963,False
42,/content/New_Data/New_Test_Folder/42/981.56.jpg,981,False
43,/content/New_Data/New_Test_Folder/43/1001.2.jpg,1001,False
44,/content/New_Data/New_Test_Folder/44/1008.5.jpg,1008,False
45,/content/New_Data/New_Test_Folder/45/955.59.jpg,955,False
46,/content/New_Data/New_Test_Folder/46/1019.5.jpg,1019,False
47,/content/New_Data/New_Test_Folder/47/965.12.jpg,965,False
48,/content/New_Data/New_Test_Folder/48/1007.4.jpg,1007,True
49,/content/New_Data/New_Test_Folder/49/737.5.jpg,737,False
50,/content/New_Data/New_Test_Folder/50/989.89.jpg,989,False
51,/content/New_Data/New_Test_Folder/51/887.97.jpg,887,False
52,/content/New_Data/New_Test_Folder/52/722.63.jpg,722,False
53,/content/New_Data/New_Test_Folder/53/880.84.jpg,880,False
54,/content/New_Data/New_Test_Folder/54/851.96.jpg,851,False
55,/content/New_Data/New_Test_Folder/55/835.03.jpg,835,False
56,/content/New_Data/New_Test_Folder/56/830.21.jpg,830,True
57,/content/New_Data/New_Test_Folder/57/796.94.jpg,796,False
58,/content/New_Data/New_Test_Folder/58/620.21.jpg,620,False
59,/content/New_Data/New_Test_Folder/59/691.14.jpg,691,False
60,/content/New_Data/New_Test_Folder/60/632.84.jpg,632,False
61,/content/New_Data/New_Test_Folder/61/586.08.jpg,586,False
62,/content/New_Data/New_Test_Folder/62/552.39.jpg,552,False
63,/content/New_Data/New_Test_Folder/63/504.0.jpg,504,False
64,/content/New_Data/New_Test_Folder/64/517.13.jpg,517,True
65,/content/New_Data/New_Test_Folder/65/488.66.jpg,488,False
66,/content/New_Data/New_Test_Folder/66/432.04.jpg,432,False
67,/content/New_Data/New_Test_Folder/67/371.33.jpg,371,False
68,/content/New_Data/New_Test_Folder/68/317.31.jpg,317,False
69,/content/New_Data/New_Test_Folder/69/262.32.jpg,262,False
70,/content/New_Data/New_Test_Folder/70/209.01.jpg,209,False
71,/content/New_Data/New_Test_Folder/71/157.54.jpg,157,False
72,/content/New_Data/New_Test_Folder/72/109.15.jpg,109,True
73,/content/New_Data/New_Test_Folder/73/67.18.jpg,67,False
74,/content/New_Data/New_Test_Folder/74/32.87.jpg,32,False
75,/content/New_Data/New_Test_Folder/75/9.71.jpg,9,False
76,/content/New_Data/New_Test_Folder/76/0.84.jpg,0,False
77,/content/New_Data/New_Test_Folder/77/193.44.jpg,193,False
78,/content/New_Data/New_Test_Folder/78/212.32.jpg,212,False
79,/content/New_Data/New_Test_Folder/79/302.55.jpg,302,False
80,/content/New_Data/New_Test_Folder/80/350.43.jpg,350,True
81,/content/New_Data/New_Test_Folder/81/397.64.jpg,397,False
82,/content/New_Data/New_Test_Folder/82/447.02.jpg,447,False
83,/content/New_Data/New_Test_Folder/83/495.22.jpg,495,False
84,/content/New_Data/New_Test_Folder/84/542.62.jpg,542,False
85,/content/New_Data/New_Test_Folder/85/587.43.jpg,587,False
86,/content/New_Data/New_Test_Folder/86/631.11.jpg,631,False
87,/content/New_Data/New_Test_Folder/87/672.19.jpg,672,False
88,/content/New_Data/New_Test_Folder/88/711.93.jpg,711,True
89,/content/New_Data/New_Test_Folder/89/750.62.jpg,750,False
90,/content/New_Data/New_Test_Folder/90/790.32.jpg,790,False
91,/content/New_Data/New_Test_Folder/91/818.79.jpg,818,False
92,/content/New_Data/New_Test_Folder/92/857.05.jpg,857,False
93,/content/New_Data/New_Test_Folder/93/886.3.jpg,886,False
94,/content/New_Data/New_Test_Folder/94/912.9.jpg,912,False
95,/content/New_Data/New_Test_Folder/95/930.93.jpg,930,False
96,/content/New_Data/New_Test_Folder/96/953.61.jpg,953,True
97,/content/New_Data/New_Test_Folder/97/974.63.jpg,974,False
98,/content/New_Data/New_Test_Folder/98/994.9.jpg,994,False
99,/content/New_Data/New_Test_Folder/99/1003.8.jpg,1003,False
100,/content/New_Data/New_Test_Folder/100/998.36.jpg,998,False
101,/content/New_Data/New_Test_Folder/101/1007.4.jpg,1007,False
102,/content/New_Data/New_Test_Folder/102/989.62.jpg,989,False
103,/content/New_Data/New_Test_Folder/103/967.36.jpg,967,False
